2025-02-27 11:28:38,684 - root - INFO - Training/evaluation config: Namespace(seed=2021, data_path='./data/ctrip_20250224.csv', base_url='data/qunaer_20250226_balance82', num_class=3, val_ratio=0.2, prefetch=12, num_workers=6, train_batch_size=32, val_batch_size=32, word2Vec='./word2vec/sgns.weibo.bigram-char.bz2', word2Vec_dim=300, stopWords='./stopword/hit_stopwords.txt', bert_dir='hf_hub/models--nghuyong--ernie-3.0-base-zh', bert_dim=768, bert_max_length=512, bert_padding='max_length', lstm_input_size=768, lstm_hidden_size=256, lstm_num_layers=2, lstm_dropout=0.0, feature_type=2, fusion_type='weighted', adv_type='none', fgm_adv_epsilon=1.0, pgd_adv_epsilon=1.0, pgd_adv_alpha=0.3, pgd_adv_K=3, freelb_adv_K=3, freelb_adv_lr=0.01, freelb_adv_init_mag=0.02, smartp_adv_alpha=1.0, save_path='save/qunaer_20250226_balance82/models--nghuyong--ernie-3.0-base-zh/feature2_fusionweighted_advnone_20250227112838', best_score=0.5, max_epochs=10, max_steps=50000, warmup_steps=200, print_steps=10, weight_decay=0.001, adam_eps=1e-06, adam_lr=5e-05, dropout=0.1, smoothing=0.0, patience=3, device='cuda', n_gpu=1)
2025-02-27 11:28:46,063 - root - INFO - Epoch 0/10 step 10/2470 eta 00:25:41: loss 1.090, train {'accuracy': 0.53125, 'f1': 0.5113636363636364, 'precision': 0.5069444444444444, 'recall': 0.53125}
2025-02-27 11:28:51,244 - root - INFO - Epoch 0/10 step 20/2470 eta 00:23:22: loss 1.076, train {'accuracy': 0.75, 'f1': 0.6964285714285714, 'precision': 0.65, 'recall': 0.75}
2025-02-27 11:28:56,423 - root - INFO - Epoch 0/10 step 30/2470 eta 00:22:32: loss 1.070, train {'accuracy': 0.75, 'f1': 0.6428571428571428, 'precision': 0.5625, 'recall': 0.75}
2025-02-27 11:29:01,573 - root - INFO - Epoch 0/10 step 40/2470 eta 00:22:02: loss 1.042, train {'accuracy': 0.84375, 'f1': 0.7722457627118644, 'precision': 0.7119140625, 'recall': 0.84375}
2025-02-27 11:29:06,696 - root - INFO - Epoch 0/10 step 50/2470 eta 00:21:41: loss 1.020, train {'accuracy': 0.6875, 'f1': 0.5601851851851851, 'precision': 0.47265625, 'recall': 0.6875}
2025-02-27 11:29:11,819 - root - INFO - Epoch 0/10 step 60/2470 eta 00:21:26: loss 0.776, train {'accuracy': 0.84375, 'f1': 0.7722457627118644, 'precision': 0.7119140625, 'recall': 0.84375}
2025-02-27 11:29:16,970 - root - INFO - Epoch 0/10 step 70/2470 eta 00:21:14: loss 0.702, train {'accuracy': 0.78125, 'f1': 0.6853070175438596, 'precision': 0.6103515625, 'recall': 0.78125}
2025-02-27 11:29:22,095 - root - INFO - Epoch 0/10 step 80/2470 eta 00:21:03: loss 0.768, train {'accuracy': 0.71875, 'f1': 0.6011363636363636, 'precision': 0.5166015625, 'recall': 0.71875}
2025-02-27 11:29:27,231 - root - INFO - Epoch 0/10 step 90/2470 eta 00:20:54: loss 0.543, train {'accuracy': 0.8125, 'f1': 0.728448275862069, 'precision': 0.66015625, 'recall': 0.8125}
2025-02-27 11:29:32,365 - root - INFO - Epoch 0/10 step 100/2470 eta 00:20:45: loss 0.452, train {'accuracy': 0.875, 'f1': 0.8166666666666667, 'precision': 0.765625, 'recall': 0.875}
2025-02-27 11:29:37,508 - root - INFO - Epoch 0/10 step 110/2470 eta 00:20:38: loss 0.670, train {'accuracy': 0.71875, 'f1': 0.6011363636363636, 'precision': 0.5166015625, 'recall': 0.71875}
